#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.89787  0.017415  0.007987  0.000491     2.180
   0.00408  0.99592  0.00019  0.90088  0.016964  0.007875  0.000520     2.154
   0.01077  0.98925  0.00065  0.90582  0.016280  0.007697  0.000567     2.115
   0.01818  0.98187  0.00132  0.91052  0.015713  0.007533  0.000606     2.086
   0.02634  0.97376  0.00217  0.91579  0.015122  0.007355  0.000650     2.056
   0.03516  0.96499  0.00316  0.92165  0.014509  0.007165  0.000700     2.025
   0.04451  0.95570  0.00422  0.92744  0.013962  0.006983  0.000745     1.999
   0.05416  0.94612  0.00534  0.93346  0.013434  0.006801  0.000793     1.975
   0.06396  0.93638  0.00648  0.93910  0.012984  0.006636  0.000833     1.957
   0.07383  0.92658  0.00766  0.94489  0.012548  0.006473  0.000875     1.939
   0.08374  0.91675  0.00886  0.95038  0.012166  0.006322  0.000912     1.924
   0.09366  0.90690  0.01010  0.95604  0.011789  0.006172  0.000951     1.910
   0.10360  0.89705  0.01138  0.96175  0.011428  0.006025  0.000990     1.897
   0.11355  0.88719  0.01270  0.96771  0.011064  0.005877  0.001033     1.883
   0.12352  0.87731  0.01405  0.97360  0.010725  0.005734  0.001074     1.870
   0.13349  0.86743  0.01543  0.97954  0.010400  0.005596  0.001115     1.859
   0.14349  0.85753  0.01685  0.98572  0.010074  0.005456  0.001160     1.846
   0.15351  0.84762  0.01830  0.99194  0.009762  0.005320  0.001205     1.835
   0.16353  0.83771  0.01978  0.99835  0.009453  0.005184  0.001252     1.823
   0.17357  0.82778  0.02129  1.00492  0.009150  0.005050  0.001301     1.812
   0.18362  0.81785  0.02282  1.01147  0.008863  0.004920  0.001349     1.801
   0.19369  0.80790  0.02438  1.01825  0.008578  0.004790  0.001401     1.791
   0.20377  0.79795  0.02596  1.02515  0.008301  0.004663  0.001454     1.780
   0.21385  0.78799  0.02756  1.03203  0.008039  0.004539  0.001506     1.771
   0.22396  0.77802  0.02919  1.03933  0.007769  0.004414  0.001565     1.760
   0.23407  0.76804  0.03083  1.04648  0.007520  0.004294  0.001621     1.751
   0.24420  0.75805  0.03249  1.05384  0.007274  0.004175  0.001679     1.742
   0.25434  0.74805  0.03417  1.06152  0.007027  0.004056  0.001743     1.732
   0.26449  0.73804  0.03586  1.06906  0.006798  0.003943  0.001804     1.724
   0.27465  0.72802  0.03757  1.07712  0.006561  0.003826  0.001873     1.715
   0.28483  0.71799  0.03928  1.08476  0.006350  0.003719  0.001935     1.707
   0.29502  0.70795  0.04101  1.09297  0.006130  0.003608  0.002006     1.699
   0.30521  0.69791  0.04275  1.10140  0.005914  0.003499  0.002081     1.690
   0.31542  0.68785  0.04449  1.10972  0.005713  0.003394  0.002153     1.683
   0.32564  0.67778  0.04624  1.11829  0.005513  0.003291  0.002230     1.675
   0.33587  0.66770  0.04799  1.12689  0.005323  0.003191  0.002306     1.668
   0.34609  0.65763  0.04974  1.13571  0.005136  0.003092  0.002386     1.661
   0.35632  0.64755  0.05149  1.14462  0.004957  0.002995  0.002468     1.655
   0.36654  0.63748  0.05324  1.15394  0.004775  0.002898  0.002557     1.648
   0.37675  0.62742  0.05498  1.16295  0.004610  0.002808  0.002640     1.642
   0.38695  0.61737  0.05672  1.17285  0.004434  0.002712  0.002740     1.635
   0.39714  0.60733  0.05844  1.18211  0.004279  0.002626  0.002827     1.629
   0.40730  0.59731  0.06015  1.19175  0.004124  0.002540  0.002921     1.624
   0.41745  0.58730  0.06185  1.20153  0.003974  0.002455  0.003019     1.619
   0.42760  0.57730  0.06354  1.21190  0.003821  0.002370  0.003128     1.612
   0.43772  0.56731  0.06521  1.22209  0.003678  0.002289  0.003233     1.607
   0.44784  0.55733  0.06686  1.23239  0.003540  0.002210  0.003340     1.602
   0.45793  0.54737  0.06849  1.24292  0.003405  0.002132  0.003453     1.597
   0.46801  0.53742  0.07010  1.25387  0.003271  0.002055  0.003574     1.592
   0.47808  0.52748  0.07168  1.26432  0.003150  0.001983  0.003684     1.588
   0.48813  0.51755  0.07324  1.27530  0.003027  0.001911  0.003806     1.584
   0.49817  0.50763  0.07478  1.28719  0.002900  0.001837  0.003949     1.579
   0.50818  0.49773  0.07628  1.29838  0.002786  0.001769  0.004076     1.575
   0.51818  0.48784  0.07775  1.30992  0.002674  0.001702  0.004212     1.571
   0.52815  0.47797  0.07919  1.32220  0.002560  0.001634  0.004365     1.566
   0.53811  0.46811  0.08059  1.33411  0.002455  0.001571  0.004511     1.563
   0.54806  0.45826  0.08195  1.34624  0.002352  0.001508  0.004662     1.560
   0.55796  0.44844  0.08327  1.35886  0.002250  0.001447  0.004827     1.556
   0.56787  0.43862  0.08455  1.37179  0.002150  0.001386  0.005001     1.552
   0.57773  0.42883  0.08578  1.38429  0.002059  0.001329  0.005164     1.549
   0.58759  0.41905  0.08697  1.39846  0.001959  0.001269  0.005375     1.544
   0.59741  0.40929  0.08810  1.41144  0.001872  0.001215  0.005556     1.541
   0.60721  0.39955  0.08918  1.42550  0.001782  0.001159  0.005770     1.537
   0.61698  0.38983  0.09020  1.43954  0.001696  0.001106  0.005988     1.533
   0.62674  0.38012  0.09116  1.45350  0.001614  0.001055  0.006208     1.530
   0.63645  0.37045  0.09206  1.46827  0.001532  0.001004  0.006458     1.526
   0.64614  0.36080  0.09290  1.48460  0.001445  0.000951  0.006765     1.519
   0.65578  0.35119  0.09366  1.49988  0.001367  0.000903  0.007052     1.514
   0.66535  0.34164  0.09434  1.51549  0.001291  0.000856  0.007364     1.508
   0.67486  0.33215  0.09494  1.53200  0.001214  0.000809  0.007723     1.501
   0.68431  0.32272  0.09545  1.54933  0.001138  0.000762  0.008134     1.493
   0.69369  0.31335  0.09585  1.56396  0.001073  0.000722  0.008480     1.487
   0.70300  0.30404  0.09615  1.57891  0.001010  0.000682  0.008862     1.481
   0.71226  0.29478  0.09635  1.59592  0.000943  0.000641  0.009352     1.471
   0.72148  0.28556  0.09642  1.60745  0.000893  0.000608  0.009678     1.468
   0.73066  0.27638  0.09638  1.62096  0.000838  0.000574  0.010104     1.462
   0.73981  0.26723  0.09622  1.63291  0.000789  0.000542  0.010503     1.457
   0.74897  0.25808  0.09594  1.64441  0.000741  0.000511  0.010914     1.452
   0.75812  0.24894  0.09553  1.65282  0.000701  0.000483  0.011217     1.452
   0.76728  0.23979  0.09500  1.66188  0.000661  0.000455  0.011537     1.452
   0.77645  0.23065  0.09435  1.66930  0.000625  0.000429  0.011746     1.457
   0.78562  0.22151  0.09359  1.67982  0.000587  0.000401  0.011994     1.465
   0.79478  0.21239  0.09270  1.68518  0.000562  0.000377  0.011791     1.490
   0.80393  0.20330  0.09170  1.69445  0.000540  0.000352  0.011292     1.536
   0.81303  0.19426  0.09058  1.70171  0.000541  0.000330  0.009805     1.640
   0.82212  0.18526  0.08934  1.71269  0.000575  0.000309  0.007052     1.860
   0.83116  0.17632  0.08798  1.73393  0.000661  0.000286  0.003575     2.309
   0.84018  0.16743  0.08649  1.76425  0.000774  0.000261  0.001416     2.968
   0.84913  0.15862  0.08488  1.77225  0.000794  0.000253  0.001041     3.139
   0.85804  0.14988  0.08314  1.77898  0.000791  0.000247  0.000929     3.203
   0.86691  0.14121  0.08127  1.78745  0.000768  0.000240  0.000952     3.207
   0.87572  0.13263  0.07927  1.79665  0.000741  0.000232  0.001012     3.197
   0.88446  0.12416  0.07714  1.80653  0.000711  0.000224  0.001112     3.174
   0.89313  0.11579  0.07487  1.81673  0.000683  0.000216  0.001195     3.160
   0.90170  0.10756  0.07248  1.82815  0.000644  0.000208  0.001409     3.104
   0.91017  0.09948  0.06995  1.83911  0.000617  0.000200  0.001518     3.091
   0.91851  0.09157  0.06730  1.85142  0.000580  0.000191  0.001777     3.038
   0.92668  0.08388  0.06453  1.86367  0.000547  0.000183  0.002024     2.997
   0.93469  0.07641  0.06164  1.87591  0.000517  0.000174  0.002254     2.968
   0.94247  0.06922  0.05866  1.88914  0.000482  0.000166  0.002646     2.912
   0.95001  0.06234  0.05559  1.90130  0.000455  0.000158  0.002935     2.886
   0.95725  0.05581  0.05246  1.91350  0.000428  0.000150  0.003251     2.860
   0.96416  0.04967  0.04930  1.92580  0.000402  0.000142  0.003634     2.830
   0.97069  0.04395  0.04614  1.93809  0.000375  0.000134  0.004129     2.791
   0.97681  0.03869  0.04301  1.94848  0.000355  0.000128  0.004416     2.786
   0.98248  0.03391  0.03996  1.95844  0.000339  0.000121  0.004589     2.796
   0.98770  0.02960  0.03702  1.97034  0.000317  0.000115  0.005148     2.765
   0.99248  0.02574  0.03420  1.98112  0.000297  0.000108  0.005716     2.739
   0.99682  0.02232  0.03152  1.99085  0.000278  0.000103  0.006308     2.715
   1.00077  0.01930  0.02898  1.99737  0.000270  0.000098  0.006216     2.754
   1.00435  0.01663  0.02659  2.00678  0.000257  0.000093  0.006484     2.763
   1.00761  0.01427  0.02434  2.01905  0.000236  0.000087  0.007640     2.703
   1.01059  0.01219  0.02221  2.02697  0.000224  0.000083  0.008200     2.694
   1.01331  0.01036  0.02020  2.03243  0.000218  0.000079  0.007938     2.744
   1.01579  0.00875  0.01831  2.04327  0.000203  0.000075  0.008899     2.713
   1.01809  0.00732  0.01651  2.05161  0.000193  0.000071  0.009348     2.718
   1.02022  0.00606  0.01480  2.06059  0.000183  0.000067  0.009884     2.721
   1.02219  0.00495  0.01317  2.06941  0.000174  0.000063  0.010094     2.745
   1.02401  0.00398  0.01163  2.08409  0.000156  0.000059  0.012814     2.645
   1.02571  0.00314  0.01015  2.08977  0.000147  0.000056  0.013696     2.641
   1.02731  0.00241  0.00873  2.09771  0.000134  0.000052  0.016296     2.575
   1.02880  0.00180  0.00737  2.09430  0.000134  0.000050  0.014224     2.690
   1.03022  0.00127  0.00605  2.10661  0.000120  0.000046  0.017354     2.618
   1.03155  0.00084  0.00479  2.11090  0.000113  0.000043  0.018291     2.631
   1.03282  0.00050  0.00357  2.11777  0.000103  0.000039  0.020673     2.607
   1.03402  0.00025  0.00239  2.12113  0.000099  0.000037  0.018933     2.713
   1.03517  0.00008  0.00126  2.14032  0.000092  0.000033  0.018427     2.803
   1.03627  0.00000  0.00016  2.17227  0.000070  0.000028  0.034061     2.532
   1.03736  0.00005 -0.00093  2.16167  0.000061  0.000024  0.037681     2.555
   1.03847  0.00026 -0.00202  2.09415  0.000043  0.000020  0.077223     2.150
   1.03963  0.00070 -0.00309  1.81508  0.000047  0.000022  0.059422     2.165
   1.04084  0.00131 -0.00414  1.57422  0.000051  0.000024  0.049147     2.134
   1.04212  0.00206 -0.00518  1.35831  0.000058  0.000027  0.036031     2.172
   1.04347  0.00292 -0.00621  1.18233  0.000062  0.000029  0.030475     2.134
   1.04490  0.00391 -0.00725  1.01941  0.000070  0.000032  0.022067     2.184
   1.04643  0.00501 -0.00831  0.88780  0.000074  0.000034  0.018578     2.161
   1.04806  0.00623 -0.00939  0.76362  0.000082  0.000037  0.014174     2.188
   1.04981  0.00759 -0.01050  0.65510  0.000087  0.000040  0.011493     2.185
   1.05172  0.00911 -0.01165  0.55246  0.000093  0.000042  0.008900     2.200
   1.05377  0.01079 -0.01283  0.45802  0.000098  0.000045  0.006984     2.201
   1.05602  0.01267 -0.01406  0.36507  0.000105  0.000048  0.005284     2.187
   1.05847  0.01477 -0.01533  0.27936  0.000115  0.000052  0.003564     2.221
   1.06117  0.01711 -0.01667  0.20132  0.000120  0.000054  0.002493     2.213
   1.06414  0.01973 -0.01807  0.12379  0.000130  0.000059  0.001412     2.213
   1.06744  0.02267 -0.01956  0.05258  0.000142  0.000064  0.000542     2.230
   1.07110  0.02598 -0.02114 -0.01775  0.000142  0.000064  0.000183     2.230
   1.07520  0.02972 -0.02281 -0.08334  0.000163  0.000072  0.000738     2.246
