#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.86254  0.008340  0.004761  0.001168     1.752
   0.00408  0.99592  0.00019  0.86831  0.008023  0.004641  0.001238     1.729
   0.01077  0.98925  0.00065  0.87865  0.007501  0.004436  0.001366     1.691
   0.01818  0.98187  0.00132  0.88670  0.007142  0.004283  0.001460     1.667
   0.02634  0.97376  0.00217  0.89502  0.006799  0.004132  0.001556     1.645
   0.03516  0.96499  0.00316  0.90385  0.006461  0.003978  0.001660     1.624
   0.04451  0.95570  0.00422  0.91125  0.006203  0.003853  0.001741     1.610
   0.05416  0.94612  0.00534  0.91856  0.005962  0.003734  0.001821     1.597
   0.06396  0.93638  0.00648  0.92421  0.005790  0.003642  0.001875     1.590
   0.07383  0.92658  0.00766  0.93003  0.005619  0.003550  0.001932     1.583
   0.08374  0.91675  0.00886  0.93482  0.005487  0.003474  0.001973     1.579
   0.09366  0.90690  0.01010  0.93980  0.005352  0.003398  0.002018     1.575
   0.10360  0.89705  0.01138  0.94484  0.005220  0.003322  0.002063     1.571
   0.11355  0.88719  0.01270  0.95015  0.005084  0.003245  0.002113     1.567
   0.12352  0.87731  0.01405  0.95518  0.004960  0.003173  0.002159     1.563
   0.13349  0.86743  0.01543  0.96012  0.004842  0.003103  0.002203     1.560
   0.14349  0.85753  0.01685  0.96547  0.004716  0.003031  0.002254     1.556
   0.15351  0.84762  0.01830  0.97065  0.004599  0.002961  0.002303     1.553
   0.16353  0.83771  0.01978  0.97612  0.004478  0.002891  0.002357     1.549
   0.17357  0.82778  0.02129  0.98167  0.004358  0.002821  0.002413     1.545
   0.18362  0.81785  0.02282  0.98706  0.004246  0.002754  0.002467     1.542
   0.19369  0.80790  0.02438  0.99270  0.004132  0.002687  0.002525     1.538
   0.20377  0.79795  0.02596  0.99841  0.004019  0.002620  0.002585     1.534
   0.21385  0.78799  0.02756  1.00394  0.003913  0.002556  0.002642     1.531
   0.22396  0.77802  0.02919  1.01019  0.003797  0.002488  0.002713     1.526
   0.23407  0.76804  0.03083  1.01587  0.003694  0.002426  0.002774     1.523
   0.24420  0.75805  0.03249  1.02183  0.003590  0.002363  0.002841     1.519
   0.25434  0.74805  0.03417  1.02827  0.003480  0.002297  0.002918     1.515
