#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.86073  0.003696  0.002396  0.002027     1.543
   0.00408  0.99592  0.00019  0.86574  0.003587  0.002342  0.002098     1.532
   0.01077  0.98925  0.00065  0.87648  0.003368  0.002233  0.002262     1.509
   0.01818  0.98187  0.00132  0.88358  0.003231  0.002160  0.002365     1.496
   0.02634  0.97376  0.00217  0.89060  0.003101  0.002088  0.002469     1.485
   0.03516  0.96499  0.00316  0.89834  0.002963  0.002013  0.002587     1.472
   0.04451  0.95570  0.00422  0.90293  0.002879  0.001963  0.002652     1.467
   0.05416  0.94612  0.00534  0.90790  0.002791  0.001910  0.002726     1.461
   0.06396  0.93638  0.00648  0.90998  0.002746  0.001879  0.002747     1.462
   0.07383  0.92658  0.00766  0.91301  0.002688  0.001841  0.002787     1.460
   0.08374  0.91675  0.00886  0.91465  0.002650  0.001813  0.002801     1.462
   0.09366  0.90690  0.01010  0.91665  0.002607  0.001783  0.002821     1.463
   0.10360  0.89705  0.01138  0.91928  0.002557  0.001749  0.002853     1.462
   0.11355  0.88719  0.01270  0.92201  0.002505  0.001714  0.002888     1.462
   0.12352  0.87731  0.01405  0.92457  0.002456  0.001681  0.002919     1.462
   0.13349  0.86743  0.01543  0.92704  0.002409  0.001648  0.002949     1.462
   0.14349  0.85753  0.01685  0.93018  0.002354  0.001612  0.002992     1.460
   0.15351  0.84762  0.01830  0.93298  0.002304  0.001578  0.003029     1.460
   0.16353  0.83771  0.01978  0.93627  0.002249  0.001542  0.003076     1.459
   0.17357  0.82778  0.02129  0.93962  0.002193  0.001505  0.003125     1.457
   0.18362  0.81785  0.02282  0.94264  0.002142  0.001471  0.003169     1.456
   0.19369  0.80790  0.02438  0.94607  0.002087  0.001434  0.003222     1.455
   0.20377  0.79795  0.02596  0.94940  0.002033  0.001399  0.003274     1.453
   0.21385  0.78799  0.02756  0.95262  0.001981  0.001365  0.003324     1.452
   0.22396  0.77802  0.02919  0.95685  0.001920  0.001325  0.003398     1.449
   0.23407  0.76804  0.03083  0.95996  0.001870  0.001292  0.003449     1.448
   0.24420  0.75805  0.03249  0.96361  0.001816  0.001256  0.003513     1.446
   0.25434  0.74805  0.03417  0.96777  0.001758  0.001218  0.003589     1.443
   0.26449  0.73804  0.03586  0.97112  0.001708  0.001185  0.003649     1.442
   0.27465  0.72802  0.03757  0.97570  0.001648  0.001146  0.003738     1.438
   0.28483  0.71799  0.03928  0.97855  0.001603  0.001115  0.003790     1.438
   0.29502  0.70795  0.04101  0.98291  0.001547  0.001078  0.003876     1.436
   0.30521  0.69791  0.04275  0.98753  0.001490  0.001040  0.003969     1.433
   0.31542  0.68785  0.04449  0.99082  0.001444  0.001007  0.004030     1.433
   0.32564  0.67778  0.04624  0.99521  0.001391  0.000971  0.004115     1.432
   0.33587  0.66770  0.04799  0.99894  0.001344  0.000938  0.004179     1.434
   0.34609  0.65763  0.04974  1.00289  0.001298  0.000904  0.004241     1.436
   0.35632  0.64755  0.05149  1.00656  0.001255  0.000871  0.004281     1.441
   0.36654  0.63748  0.05324  1.01070  0.001213  0.000837  0.004312     1.449
   0.37675  0.62742  0.05498  1.01405  0.001180  0.000807  0.004289     1.463
   0.38695  0.61737  0.05672  1.01843  0.001147  0.000774  0.004240     1.482
   0.39714  0.60733  0.05844  1.02111  0.001133  0.000746  0.004064     1.518
   0.40730  0.59731  0.06015  1.02418  0.001132  0.000720  0.003771     1.573
   0.41745  0.58730  0.06185  1.02731  0.001157  0.000695  0.003291     1.666
   0.42760  0.57730  0.06354  1.03192  0.001220  0.000669  0.002590     1.822
   0.43772  0.56731  0.06521  1.03937  0.001348  0.000641  0.001665     2.105
   0.44784  0.55733  0.06686  1.05405  0.001552  0.000598  0.000782     2.597
   0.45793  0.54737  0.06849  1.07570  0.001775  0.000538  0.000232     3.298
   0.46801  0.53742  0.07010  1.08487  0.001903  0.000513  0.000042     3.708
   0.47808  0.52748  0.07168  1.08758  0.001960  0.000506 -0.000013     3.875
   0.48813  0.51755  0.07324  1.09056  0.001963  0.000498 -0.000033     3.943
   0.49817  0.50763  0.07478  1.09369  0.001929  0.000490 -0.000033     3.940
   0.50818  0.49773  0.07628  1.09693  0.001889  0.000481 -0.000029     3.927
   0.51818  0.48784  0.07775  1.10031  0.001834  0.000473 -0.000016     3.880
   0.52815  0.47797  0.07919  1.10387  0.001764  0.000464  0.000010     3.804
   0.53811  0.46811  0.08059  1.10760  0.001695  0.000455  0.000041     3.727
   0.54806  0.45826  0.08195  1.11151  0.001625  0.000445  0.000077     3.649
   0.55796  0.44844  0.08327  1.11563  0.001553  0.000436  0.000123     3.563
   0.56787  0.43862  0.08455  1.11996  0.001481  0.000426  0.000178     3.476
   0.57773  0.42883  0.08578  1.12441  0.001417  0.000416  0.000232     3.405
   0.58759  0.41905  0.08697  1.12920  0.001343  0.000406  0.000312     3.310
   0.59741  0.40929  0.08810  1.13389  0.001287  0.000396  0.000372     3.252
   0.60721  0.39955  0.08918  1.13884  0.001227  0.000385  0.000452     3.183
   0.61698  0.38983  0.09020  1.14379  0.001172  0.000375  0.000529     3.126
   0.62674  0.38012  0.09116  1.14872  0.001123  0.000365  0.000602     3.079
   0.63645  0.37045  0.09206  1.15390  0.001071  0.000354  0.000698     3.022
   0.64614  0.36080  0.09290  1.15942  0.001012  0.000343  0.000834     2.948
   0.65578  0.35119  0.09366  1.16447  0.000964  0.000333  0.000948     2.897
   0.66535  0.34164  0.09434  1.16951  0.000917  0.000322  0.001079     2.844
   0.67486  0.33215  0.09494  1.17469  0.000866  0.000312  0.001253     2.778
   0.68431  0.32272  0.09545  1.17976  0.000814  0.000301  0.001467     2.706
   0.69369  0.31335  0.09585  1.18320  0.000778  0.000291  0.001609     2.670
   0.70300  0.30404  0.09615  1.18649  0.000741  0.000282  0.001786     2.625
   0.71226  0.29478  0.09635  1.18996  0.000696  0.000272  0.002054     2.559
   0.72148  0.28556  0.09642  1.19041  0.000673  0.000265  0.002170     2.541
   0.73066  0.27638  0.09638  1.19102  0.000644  0.000257  0.002356     2.506
   0.73981  0.26723  0.09622  1.19038  0.000619  0.000250  0.002525     2.478
