#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.92934  0.001769  0.001337  0.003981     1.324
   0.00377  0.99624 -0.00023  0.91641  0.001862  0.001392  0.003747     1.338
   0.01072  0.98929 -0.00051  0.89611  0.002027  0.001484  0.003379     1.365
   0.01845  0.98156 -0.00063  0.88616  0.002106  0.001525  0.003204     1.381
   0.02661  0.97340 -0.00056  0.88243  0.002124  0.001530  0.003141     1.388
   0.03500  0.96502 -0.00034  0.88018  0.002127  0.001527  0.003101     1.393
   0.04347  0.95655  0.00000  0.88068  0.002101  0.001507  0.003111     1.394
   0.05203  0.94800  0.00043  0.88139  0.002073  0.001486  0.003123     1.395
   0.06063  0.93942  0.00095  0.88266  0.002039  0.001461  0.003145     1.396
   0.06925  0.93082  0.00154  0.88375  0.002008  0.001438  0.003161     1.397
   0.07789  0.92221  0.00220  0.88523  0.001974  0.001412  0.003182     1.398
   0.08653  0.91359  0.00291  0.88683  0.001939  0.001386  0.003204     1.399
   0.09519  0.90497  0.00369  0.88975  0.001892  0.001353  0.003249     1.398
   0.10387  0.89633  0.00453  0.89147  0.001857  0.001326  0.003268     1.401
   0.11256  0.88769  0.00542  0.89456  0.001812  0.001293  0.003310     1.401
   0.12126  0.87904  0.00635  0.89706  0.001772  0.001263  0.003337     1.404
   0.12996  0.87039  0.00733  0.90005  0.001730  0.001231  0.003368     1.406
   0.13869  0.86172  0.00836  0.90357  0.001686  0.001196  0.003403     1.409
   0.14742  0.85306  0.00942  0.90702  0.001644  0.001163  0.003427     1.414
   0.15616  0.84438  0.01051  0.90936  0.001615  0.001135  0.003415     1.423
   0.16492  0.83570  0.01163  0.91289  0.001580  0.001102  0.003411     1.434
   0.17367  0.82702  0.01278  0.91514  0.001559  0.001075  0.003354     1.451
   0.18244  0.81833  0.01397  0.91916  0.001531  0.001041  0.003303     1.471
   0.19123  0.80963  0.01516  0.92108  0.001530  0.001017  0.003160     1.504
   0.20000  0.80094  0.01639  0.92412  0.001532  0.000990  0.002978     1.548
   0.20879  0.79224  0.01762  0.92598  0.001566  0.000968  0.002680     1.618
   0.21759  0.78353  0.01887  0.92823  0.001633  0.000947  0.002269     1.724
   0.22639  0.77482  0.02015  0.93189  0.001748  0.000923  0.001734     1.895
   0.23520  0.76611  0.02143  0.93899  0.001939  0.000888  0.001096     2.184
   0.24400  0.75740  0.02273  0.95395  0.002210  0.000824  0.000484     2.681
   0.25283  0.74867  0.02403  0.97906  0.002534  0.000721  0.000080     3.515
   0.26165  0.73995  0.02534  1.00149  0.002789  0.000630 -0.000089     4.427
   0.27047  0.73122  0.02666  1.00310  0.002912  0.000624 -0.000105     4.668
   0.27931  0.72248  0.02798  1.00468  0.002959  0.000618 -0.000111     4.790
   0.28815  0.71374  0.02930  1.00623  0.002947  0.000612 -0.000113     4.816
   0.29698  0.70501  0.03063  1.00777  0.002891  0.000606 -0.000113     4.771
   0.30581  0.69628  0.03194  1.00936  0.002817  0.000600 -0.000111     4.695
