#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.67328  0.33061  0.06471  1.38709  0.005685  0.003571  0.003793     1.592
   0.68199  0.32190  0.06474  1.39593  0.005527  0.003482  0.003893     1.587
   0.69069  0.31320  0.06473  1.40597  0.005351  0.003385  0.004018     1.581
   0.69940  0.30450  0.06467  1.41511  0.005200  0.003299  0.004122     1.576
   0.70809  0.29581  0.06457  1.42567  0.005028  0.003204  0.004257     1.570
   0.71678  0.28712  0.06442  1.43483  0.004890  0.003122  0.004360     1.566
   0.72547  0.27843  0.06422  1.44555  0.004730  0.003032  0.004497     1.560
   0.73414  0.26976  0.06396  1.45483  0.004601  0.002954  0.004600     1.558
   0.74282  0.26109  0.06366  1.46522  0.004460  0.002871  0.004727     1.553
   0.75150  0.25242  0.06331  1.47633  0.004313  0.002785  0.004869     1.549
   0.76016  0.24377  0.06290  1.48671  0.004185  0.002708  0.004993     1.545
   0.76881  0.23513  0.06243  1.49742  0.004057  0.002630  0.005121     1.542
   0.77746  0.22649  0.06190  1.50863  0.003928  0.002552  0.005260     1.539
   0.78610  0.21787  0.06131  1.52059  0.003795  0.002471  0.005414     1.535
   0.79474  0.20926  0.06065  1.53175  0.003678  0.002398  0.005545     1.534
   0.80336  0.20067  0.05993  1.54300  0.003566  0.002327  0.005674     1.532
   0.81198  0.19209  0.05914  1.55576  0.003442  0.002250  0.005837     1.530
   0.82059  0.18352  0.05828  1.56797  0.003330  0.002179  0.005981     1.528
   0.82918  0.17498  0.05735  1.58190  0.003206  0.002102  0.006164     1.525
   0.83776  0.16646  0.05634  1.59426  0.003104  0.002034  0.006298     1.526
   0.84634  0.15795  0.05525  1.60829  0.002992  0.001962  0.006469     1.525
   0.85490  0.14947  0.05408  1.62178  0.002891  0.001895  0.006615     1.526
   0.86345  0.14101  0.05282  1.63733  0.002778  0.001821  0.006807     1.525
   0.87199  0.13258  0.05148  1.65373  0.002665  0.001748  0.007010     1.525
   0.88051  0.12418  0.05004  1.66874  0.002571  0.001682  0.007157     1.528
   0.88901  0.11582  0.04850  1.68517  0.002472  0.001614  0.007324     1.531
   0.89750  0.10749  0.04687  1.70589  0.002350  0.001536  0.007597     1.530
   0.90595  0.09922  0.04514  1.72690  0.002236  0.001460  0.007853     1.532
   0.91437  0.09100  0.04329  1.74796  0.002132  0.001388  0.008076     1.536
   0.92276  0.08285  0.04132  1.77202  0.002019  0.001312  0.008352     1.540
   0.93110  0.07477  0.03923  1.80008  0.001896  0.001230  0.008707     1.542
   0.93939  0.06679  0.03700  1.83015  0.001777  0.001149  0.009063     1.547
   0.94760  0.05893  0.03463  1.86360  0.001657  0.001067  0.009445     1.553
   0.95573  0.05121  0.03210  1.90171  0.001534  0.000982  0.009870     1.562
   0.96373  0.04367  0.02940  1.94608  0.001407  0.000894  0.010353     1.574
   0.97159  0.03636  0.02653  1.99858  0.001276  0.000803  0.010894     1.590
   0.97921  0.02937  0.02348  2.05925  0.001150  0.000711  0.011360     1.617
   0.98647  0.02285  0.02030  2.13441  0.001020  0.000615  0.011800     1.657
   0.99316  0.01700  0.01705  2.22543  0.000898  0.000520  0.011865     1.728
   0.99891  0.01215  0.01396  2.32949  0.000805  0.000431  0.010815     1.866
   1.00353  0.00844  0.01121  2.45145  0.000742  0.000348  0.008161     2.128
   1.00707  0.00576  0.00889  2.59991  0.000720  0.000268  0.003754     2.690
   1.00977  0.00386  0.00698  2.80714  0.000717  0.000177 -0.000407     4.045
   1.01187  0.00251  0.00537  3.07738  0.000695  0.000084 -0.002065     8.283
   1.01354  0.00154  0.00401  3.32085  0.000608  0.000025 -0.007665    23.845
   1.01493  0.00085  0.00280  3.33516  0.000468  0.000023 -0.008410    19.933
   1.01611  0.00037  0.00172  3.35161  0.000309  0.000022 -0.009261    14.153
   1.01713  0.00008  0.00074  3.38610  0.000160  0.000020 -0.011201     8.228
   1.01805  0.00000 -0.00018  3.47263  0.000040  0.000016  0.101561     2.589
   1.01898  0.00023 -0.00107  3.24969  0.000026  0.000012  0.242447     2.071
   1.02003  0.00080 -0.00195  2.49736  0.000036  0.000017  0.123998     2.157
   1.02125  0.00162 -0.00286  2.01306  0.000041  0.000020  0.093360     2.084
   1.02271  0.00271 -0.00383  1.59727  0.000054  0.000025  0.051913     2.178
   1.02452  0.00415 -0.00492  1.29429  0.000059  0.000028  0.039704     2.132
   1.02681  0.00607 -0.00617  0.99725  0.000073  0.000034  0.023777     2.181
   1.02984  0.00871 -0.00767  0.74011  0.000084  0.000039  0.015611     2.162
   1.03392  0.01237 -0.00947  0.50013  0.000102  0.000046  0.008203     2.222
   1.03926  0.01730 -0.01151  0.28501  0.000115  0.000052  0.004301     2.190
   1.04582  0.02349 -0.01369  0.10212  0.000153  0.000068  0.001117     2.230
   1.05321  0.03055 -0.01587 -0.03747  0.000153  0.000068  0.000410     2.230
   1.06102  0.03809 -0.01790 -0.14843  0.000190  0.000084  0.001271     2.260
   1.06908  0.04593 -0.01978 -0.23421  0.000205  0.000092  0.001897     2.235
   1.07727  0.05394 -0.02149 -0.30769  0.000222  0.000098  0.002241     2.263
   1.08557  0.06209 -0.02306 -0.36358  0.000249  0.000109  0.002310     2.289
   1.09393  0.07033 -0.02449 -0.41659  0.000254  0.000113  0.002708     2.242
   1.10235  0.07865 -0.02579 -0.45437  0.000292  0.000125  0.002340     2.340
   1.11081  0.08702 -0.02699 -0.49078  0.000295  0.000130  0.002705     2.260
   1.11931  0.09545 -0.02808 -0.52538  0.000311  0.000136  0.002688     2.284
   1.12784  0.10392 -0.02908 -0.55185  0.000336  0.000145  0.002519     2.322
   1.13639  0.11242 -0.02998 -0.57767  0.000344  0.000150  0.002643     2.293
   1.14497  0.12096 -0.03080 -0.59907  0.000367  0.000158  0.002499     2.324
   1.15357  0.12953 -0.03155 -0.61988  0.000377  0.000163  0.002556     2.307
   1.16218  0.13812 -0.03221 -0.63744  0.000397  0.000171  0.002446     2.328
   1.17081  0.14673 -0.03282 -0.65367  0.000412  0.000177  0.002421     2.328
   1.17946  0.15536 -0.03336 -0.66949  0.000423  0.000182  0.002430     2.320
   1.18813  0.16401 -0.03385 -0.68242  0.000444  0.000189  0.002310     2.343
   1.19680  0.17267 -0.03428 -0.69756  0.000445  0.000193  0.002432     2.309
   1.20547  0.18134 -0.03466 -0.70677  0.000478  0.000202  0.002164     2.370
   1.21417  0.19003 -0.03499 -0.71950  0.000477  0.000205  0.002306     2.325
   1.22288  0.19873 -0.03527 -0.72744  0.000506  0.000213  0.002098     2.373
   1.23158  0.20743 -0.03552 -0.73843  0.000506  0.000217  0.002209     2.335
   1.24030  0.21615 -0.03571 -0.74675  0.000526  0.000223  0.002108     2.356
   1.24902  0.22487 -0.03587 -0.75327  0.000549  0.000230  0.001988     2.381
   1.25775  0.23360 -0.03600 -0.76335  0.000543  0.000233  0.002131     2.334
   1.26649  0.24234 -0.03608 -0.76895  0.000571  0.000240  0.001957     2.377
   1.27523  0.25108 -0.03613 -0.77671  0.000575  0.000244  0.002002     2.357
