#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.91600  0.002094  0.001541  0.003369     1.359
   0.00377  0.99624 -0.00023  0.90625  0.002184  0.001589  0.003200     1.374
   0.01072  0.98929 -0.00051  0.89148  0.002331  0.001667  0.002942     1.399
   0.01845  0.98156 -0.00063  0.88359  0.002410  0.001704  0.002801     1.415
   0.02661  0.97340 -0.00056  0.88125  0.002424  0.001705  0.002754     1.422
   0.03500  0.96502 -0.00034  0.88052  0.002418  0.001695  0.002733     1.427
   0.04347  0.95655  0.00000  0.88238  0.002379  0.001667  0.002756     1.427
   0.05203  0.94800  0.00043  0.88363  0.002348  0.001644  0.002767     1.428
   0.06063  0.93942  0.00095  0.88614  0.002303  0.001613  0.002800     1.427
   0.06925  0.93082  0.00154  0.88804  0.002265  0.001586  0.002822     1.428
   0.07789  0.92221  0.00220  0.89037  0.002222  0.001557  0.002851     1.428
   0.08653  0.91359  0.00291  0.89289  0.002178  0.001526  0.002883     1.428
   0.09519  0.90497  0.00369  0.89631  0.002125  0.001490  0.002931     1.426
   0.10387  0.89633  0.00453  0.89924  0.002078  0.001458  0.002971     1.425
   0.11256  0.88769  0.00542  0.90293  0.002024  0.001422  0.003024     1.423
   0.12126  0.87904  0.00635  0.90616  0.001975  0.001389  0.003068     1.422
   0.12996  0.87039  0.00733  0.91011  0.001920  0.001352  0.003126     1.420
   0.13869  0.86172  0.00836  0.91455  0.001862  0.001313  0.003193     1.418
   0.14742  0.85306  0.00942  0.91864  0.001808  0.001277  0.003254     1.416
   0.15616  0.84438  0.01051  0.92221  0.001760  0.001243  0.003303     1.416
   0.16492  0.83570  0.01163  0.92682  0.001705  0.001205  0.003371     1.415
   0.17367  0.82702  0.01278  0.93022  0.001661  0.001173  0.003411     1.416
   0.18244  0.81833  0.01397  0.93556  0.001604  0.001133  0.003489     1.415
   0.19123  0.80963  0.01516  0.93901  0.001563  0.001102  0.003521     1.418
   0.20000  0.80094  0.01639  0.94387  0.001513  0.001065  0.003576     1.421
   0.20879  0.79224  0.01762  0.94744  0.001475  0.001034  0.003593     1.427
   0.21759  0.78353  0.01887  0.95134  0.001439  0.001002  0.003600     1.436
   0.22639  0.77482  0.02015  0.95566  0.001403  0.000969  0.003595     1.448
   0.23520  0.76611  0.02143  0.95931  0.001377  0.000939  0.003544     1.466
   0.24400  0.75740  0.02273  0.96322  0.001357  0.000910  0.003455     1.491
   0.25283  0.74867  0.02403  0.96636  0.001352  0.000883  0.003285     1.531
   0.26165  0.73995  0.02534  0.97006  0.001359  0.000857  0.003040     1.587
   0.27047  0.73122  0.02666  0.97331  0.001396  0.000833  0.002661     1.676
   0.27931  0.72248  0.02798  0.97719  0.001474  0.000810  0.002126     1.820
   0.28815  0.71374  0.02930  0.98384  0.001609  0.000780  0.001451     2.062
   0.29698  0.70501  0.03063  0.99704  0.001817  0.000733  0.000742     2.480
   0.30581  0.69628  0.03194  1.01992  0.002086  0.000655  0.000208     3.185
   0.31463  0.68756  0.03324  1.04497  0.002323  0.000571 -0.000046     4.066
   0.32344  0.67884  0.03455  1.04673  0.002412  0.000566 -0.000074     4.265
   0.33224  0.67014  0.03583  1.04849  0.002436  0.000560 -0.000084     4.351
   0.34104  0.66143  0.03710  1.05028  0.002415  0.000554 -0.000086     4.358
   0.34982  0.65274  0.03836  1.05211  0.002363  0.000548 -0.000082     4.308
   0.35861  0.64404  0.03959  1.05399  0.002295  0.000543 -0.000073     4.230
   0.36739  0.63534  0.04081  1.05595  0.002217  0.000537 -0.000060     4.131
   0.37617  0.62665  0.04200  1.05800  0.002126  0.000531 -0.000039     4.007
   0.38493  0.61796  0.04318  1.06018  0.002029  0.000524 -0.000009     3.870
   0.39370  0.60927  0.04433  1.06248  0.001944  0.000518  0.000022     3.755
   0.40246  0.60058  0.04545  1.06497  0.001851  0.000511  0.000065     3.624
   0.41122  0.59189  0.04655  1.06758  0.001770  0.000503  0.000109     3.516
   0.41999  0.58319  0.04763  1.07042  0.001684  0.000496  0.000166     3.398
   0.42874  0.57450  0.04867  1.07314  0.001624  0.000488  0.000207     3.326
   0.43749  0.56581  0.04969  1.07614  0.001553  0.000480  0.000266     3.234
   0.44625  0.55711  0.05068  1.07910  0.001493  0.000472  0.000321     3.161
   0.45500  0.54841  0.05164  1.08206  0.001438  0.000464  0.000378     3.095
   0.46375  0.53971  0.05257  1.08496  0.001388  0.000457  0.000431     3.039
   0.47249  0.53101  0.05347  1.08791  0.001339  0.000449  0.000491     2.983
   0.48124  0.52231  0.05433  1.09035  0.001307  0.000442  0.000525     2.956
   0.48998  0.51361  0.05517  1.09334  0.001259  0.000434  0.000593     2.901
   0.49872  0.50491  0.05598  1.09595  0.001222  0.000427  0.000646     2.864
   0.50746  0.49620  0.05674  1.09794  0.001200  0.000421  0.000669     2.853
   0.51620  0.48749  0.05749  1.10064  0.001162  0.000413  0.000734     2.811
   0.52494  0.47878  0.05819  1.10285  0.001133  0.000407  0.000779     2.787
   0.53367  0.47007  0.05886  1.10455  0.001114  0.000401  0.000800     2.780
   0.54241  0.46136  0.05951  1.10718  0.001077  0.000393  0.000874     2.739
   0.55115  0.45264  0.06010  1.10863  0.001060  0.000388  0.000894     2.735
   0.55988  0.44393  0.06067  1.11034  0.001039  0.000382  0.000929     2.722
   0.56861  0.43521  0.06121  1.11238  0.001011  0.000375  0.000987     2.697
   0.57735  0.42649  0.06171  1.11400  0.000989  0.000369  0.001029     2.681
   0.58607  0.41778  0.06217  1.11520  0.000973  0.000363  0.001054     2.676
   0.59480  0.40906  0.06260  1.11713  0.000945  0.000357  0.001123     2.649
   0.60353  0.40034  0.06298  1.11771  0.000935  0.000352  0.001126     2.656
   0.61226  0.39162  0.06334  1.11917  0.000913  0.000346  0.001177     2.640
   0.62098  0.38290  0.06365  1.12029  0.000894  0.000340  0.001217     2.630
   0.62971  0.37418  0.06393  1.12092  0.000882  0.000335  0.001232     2.632
   0.63842  0.36547  0.06417  1.12274  0.000853  0.000328  0.001320     2.602
   0.64714  0.35675  0.06437  1.12306  0.000841  0.000323  0.001336     2.604
   0.65585  0.34804  0.06452  1.12385  0.000823  0.000317  0.001381     2.595
   0.66457  0.33932  0.06464  1.12468  0.000804  0.000311  0.001437     2.581
   0.67328  0.33061  0.06471  1.12474  0.000792  0.000306  0.001454     2.585
   0.68199  0.32190  0.06474  1.12523  0.000775  0.000301  0.001499     2.577
   0.69069  0.31320  0.06473  1.12582  0.000755  0.000295  0.001560     2.564
   0.69940  0.30450  0.06467  1.12574  0.000742  0.000289  0.001589     2.564
   0.70809  0.29581  0.06457  1.12645  0.000719  0.000283  0.001680     2.542
   0.71678  0.28712  0.06442  1.12556  0.000710  0.000278  0.001681     2.553
   0.72547  0.27843  0.06422  1.12618  0.000686  0.000271  0.001788     2.528
   0.73414  0.26976  0.06396  1.12509  0.000675  0.000267  0.001803     2.534
   0.74282  0.26109  0.06366  1.12453  0.000660  0.000261  0.001856     2.529
