#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.95604  0.002838  0.002040  0.003287     1.391
   0.00377  0.99624 -0.00023  0.95361  0.002863  0.002051  0.003243     1.396
   0.01072  0.98929 -0.00051  0.93415  0.003133  0.002188  0.002890     1.432
   0.01845  0.98156 -0.00063  0.92415  0.003286  0.002258  0.002701     1.456
   0.02661  0.97340 -0.00056  0.91964  0.003357  0.002283  0.002604     1.470
   0.03500  0.96502 -0.00034  0.91787  0.003383  0.002286  0.002552     1.480
   0.04347  0.95655  0.00000  0.91837  0.003370  0.002269  0.002537     1.485
   0.05203  0.94800  0.00043  0.91933  0.003349  0.002248  0.002529     1.490
   0.06063  0.93942  0.00095  0.92104  0.003315  0.002220  0.002533     1.493
   0.06925  0.93082  0.00154  0.92317  0.003274  0.002190  0.002543     1.495
   0.07789  0.92221  0.00220  0.92558  0.003229  0.002157  0.002557     1.497
   0.08653  0.91359  0.00291  0.92818  0.003182  0.002123  0.002574     1.499
   0.09519  0.90497  0.00369  0.93189  0.003117  0.002081  0.002611     1.498
   0.10387  0.89633  0.00453  0.93513  0.003061  0.002043  0.002639     1.498
   0.11256  0.88769  0.00542  0.93934  0.002990  0.001998  0.002684     1.497
   0.12126  0.87904  0.00635  0.94332  0.002925  0.001955  0.002725     1.496
   0.12996  0.87039  0.00733  0.94744  0.002858  0.001913  0.002770     1.494
   0.13869  0.86172  0.00836  0.95258  0.002778  0.001863  0.002833     1.491
   0.14742  0.85306  0.00942  0.95721  0.002707  0.001819  0.002888     1.489
   0.15616  0.84438  0.01051  0.96173  0.002640  0.001775  0.002941     1.487
   0.16492  0.83570  0.01163  0.96723  0.002561  0.001726  0.003013     1.483
   0.17367  0.82702  0.01278  0.97153  0.002499  0.001686  0.003063     1.482
   0.18244  0.81833  0.01397  0.97761  0.002416  0.001636  0.003149     1.478
   0.19123  0.80963  0.01516  0.98227  0.002353  0.001594  0.003208     1.476
   0.20000  0.80094  0.01639  0.98806  0.002278  0.001548  0.003291     1.472
   0.20879  0.79224  0.01762  0.99301  0.002214  0.001506  0.003357     1.470
   0.21759  0.78353  0.01887  0.99819  0.002150  0.001464  0.003429     1.468
   0.22639  0.77482  0.02015  1.00428  0.002077  0.001419  0.003520     1.464
   0.23520  0.76611  0.02143  1.00968  0.002013  0.001377  0.003599     1.462
   0.24400  0.75740  0.02273  1.01523  0.001950  0.001336  0.003681     1.459
   0.25283  0.74867  0.02403  1.02075  0.001888  0.001295  0.003763     1.457
   0.26165  0.73995  0.02534  1.02697  0.001822  0.001253  0.003862     1.454
   0.27047  0.73122  0.02666  1.03229  0.001765  0.001214  0.003940     1.453
   0.27931  0.72248  0.02798  1.03825  0.001704  0.001174  0.004032     1.451
   0.28815  0.71374  0.02930  1.04423  0.001646  0.001135  0.004124     1.450
   0.29698  0.70501  0.03063  1.05043  0.001587  0.001095  0.004219     1.449
   0.30581  0.69628  0.03194  1.05626  0.001533  0.001058  0.004302     1.450
   0.31463  0.68756  0.03324  1.06149  0.001486  0.001023  0.004365     1.452
   0.32344  0.67884  0.03455  1.06810  0.001431  0.000984  0.004452     1.454
   0.33224  0.67014  0.03583  1.07346  0.001387  0.000950  0.004497     1.460
   0.34104  0.66143  0.03710  1.07926  0.001344  0.000916  0.004535     1.467
   0.34982  0.65274  0.03836  1.08452  0.001307  0.000884  0.004532     1.479
   0.35861  0.64404  0.03959  1.08949  0.001277  0.000853  0.004483     1.497
   0.36739  0.63534  0.04081  1.09413  0.001256  0.000824  0.004370     1.523
   0.37617  0.62665  0.04200  1.09866  0.001244  0.000797  0.004177     1.561
   0.38493  0.61796  0.04318  1.10336  0.001245  0.000770  0.003881     1.617
   0.39370  0.60927  0.04433  1.10728  0.001273  0.000747  0.003417     1.703
   0.40246  0.60058  0.04545  1.11279  0.001324  0.000723  0.002812     1.832
   0.41122  0.59189  0.04655  1.11944  0.001423  0.000697  0.002031     2.040
   0.41999  0.58319  0.04763  1.13132  0.001557  0.000662  0.001243     2.352
   0.42874  0.57450  0.04867  1.14736  0.001740  0.000618  0.000577     2.818
   0.43749  0.56581  0.04969  1.16581  0.001895  0.000568  0.000216     3.334
   0.44625  0.55711  0.05068  1.17070  0.001973  0.000555  0.000105     3.554
   0.45500  0.54841  0.05164  1.17257  0.001999  0.000550  0.000071     3.636
   0.46375  0.53971  0.05257  1.17471  0.001993  0.000544  0.000060     3.664
   0.47249  0.53101  0.05347  1.17700  0.001966  0.000538  0.000065     3.655
