#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.89962  0.010055  0.005573  0.001027     1.804
   0.00408  0.99592  0.00019  0.90485  0.009713  0.005450  0.001084     1.782
   0.01077  0.98925  0.00065  0.91271  0.009241  0.005271  0.001169     1.753
   0.01818  0.98187  0.00132  0.91891  0.008911  0.005133  0.001228     1.736
   0.02634  0.97376  0.00217  0.92561  0.008576  0.004990  0.001292     1.718
   0.03516  0.96499  0.00316  0.93293  0.008231  0.004840  0.001362     1.701
   0.04451  0.95570  0.00422  0.93938  0.007954  0.004711  0.001418     1.688
   0.05416  0.94612  0.00534  0.94595  0.007686  0.004584  0.001475     1.677
   0.06396  0.93638  0.00648  0.95141  0.007483  0.004480  0.001516     1.670
   0.07383  0.92658  0.00766  0.95709  0.007279  0.004375  0.001560     1.664
   0.08374  0.91675  0.00886  0.96206  0.007113  0.004285  0.001592     1.660
   0.09366  0.90690  0.01010  0.96729  0.006941  0.004192  0.001629     1.656
   0.10360  0.89705  0.01138  0.97258  0.006773  0.004101  0.001666     1.652
   0.11355  0.88719  0.01270  0.97824  0.006596  0.004006  0.001708     1.647
   0.12352  0.87731  0.01405  0.98370  0.006434  0.003917  0.001747     1.643
   0.13349  0.86743  0.01543  0.98914  0.006277  0.003830  0.001786     1.639
   0.14349  0.85753  0.01685  0.99497  0.006113  0.003740  0.001830     1.634
   0.15351  0.84762  0.01830  1.00073  0.005957  0.003653  0.001873     1.630
   0.16353  0.83771  0.01978  1.00677  0.005797  0.003565  0.001920     1.626
   0.17357  0.82778  0.02129  1.01294  0.005639  0.003478  0.001969     1.621
   0.18362  0.81785  0.02282  1.01903  0.005489  0.003394  0.002016     1.617
   0.19369  0.80790  0.02438  1.02538  0.005337  0.003309  0.002068     1.613
   0.20377  0.79795  0.02596  1.03185  0.005187  0.003225  0.002121     1.609
   0.21385  0.78799  0.02756  1.03819  0.005046  0.003144  0.002172     1.605
   0.22396  0.77802  0.02919  1.04514  0.004895  0.003059  0.002233     1.600
   0.23407  0.76804  0.03083  1.05174  0.004758  0.002981  0.002288     1.596
   0.24420  0.75805  0.03249  1.05859  0.004620  0.002901  0.002347     1.592
   0.25434  0.74805  0.03417  1.06587  0.004478  0.002821  0.002413     1.588
