#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.89966  0.010359  0.005695  0.001027     1.819
   0.00408  0.99592  0.00019  0.90474  0.010014  0.005571  0.001083     1.797
   0.01077  0.98925  0.00065  0.91241  0.009533  0.005392  0.001167     1.768
   0.01818  0.98187  0.00132  0.91854  0.009193  0.005253  0.001227     1.750
   0.02634  0.97376  0.00217  0.92516  0.008848  0.005107  0.001292     1.732
   0.03516  0.96499  0.00316  0.93240  0.008492  0.004955  0.001363     1.714
   0.04451  0.95570  0.00422  0.93883  0.008205  0.004823  0.001420     1.701
   0.05416  0.94612  0.00534  0.94536  0.007928  0.004693  0.001478     1.689
   0.06396  0.93638  0.00648  0.95084  0.007716  0.004586  0.001520     1.682
   0.07383  0.92658  0.00766  0.95652  0.007504  0.004479  0.001565     1.675
   0.08374  0.91675  0.00886  0.96151  0.007330  0.004386  0.001599     1.671
   0.09366  0.90690  0.01010  0.96676  0.007152  0.004290  0.001637     1.667
   0.10360  0.89705  0.01138  0.97205  0.006977  0.004197  0.001675     1.662
   0.11355  0.88719  0.01270  0.97771  0.006794  0.004100  0.001719     1.657
   0.12352  0.87731  0.01405  0.98318  0.006625  0.004008  0.001759     1.653
   0.13349  0.86743  0.01543  0.98862  0.006463  0.003919  0.001799     1.649
   0.14349  0.85753  0.01685  0.99445  0.006292  0.003827  0.001844     1.644
   0.15351  0.84762  0.01830  1.00021  0.006130  0.003738  0.001888     1.640
   0.16353  0.83771  0.01978  1.00624  0.005965  0.003648  0.001937     1.635
   0.17357  0.82778  0.02129  1.01241  0.005801  0.003558  0.001987     1.630
   0.18362  0.81785  0.02282  1.01850  0.005646  0.003472  0.002036     1.626
   0.19369  0.80790  0.02438  1.02484  0.005489  0.003385  0.002089     1.622
   0.20377  0.79795  0.02596  1.03131  0.005334  0.003299  0.002144     1.617
   0.21385  0.78799  0.02756  1.03765  0.005188  0.003217  0.002196     1.613
   0.22396  0.77802  0.02919  1.04458  0.005032  0.003130  0.002259     1.608
   0.23407  0.76804  0.03083  1.05118  0.004891  0.003049  0.002315     1.604
   0.24420  0.75805  0.03249  1.05804  0.004748  0.002968  0.002376     1.600
   0.25434  0.74805  0.03417  1.06530  0.004601  0.002885  0.002444     1.595
   0.26449  0.73804  0.03586  1.07223  0.004467  0.002808  0.002507     1.591
   0.27465  0.72802  0.03757  1.07990  0.004322  0.002726  0.002582     1.585
   0.28483  0.71799  0.03928  1.08683  0.004199  0.002653  0.002644     1.582
   0.29502  0.70795  0.04101  1.09454  0.004064  0.002576  0.002720     1.578
   0.30521  0.69791  0.04275  1.10251  0.003930  0.002498  0.002802     1.573
   0.31542  0.68785  0.04449  1.11017  0.003806  0.002426  0.002878     1.569
   0.32564  0.67778  0.04624  1.11820  0.003681  0.002352  0.002960     1.565
   0.33587  0.66770  0.04799  1.12613  0.003562  0.002282  0.003042     1.561
   0.34609  0.65763  0.04974  1.13434  0.003443  0.002211  0.003128     1.557
   0.35632  0.64755  0.05149  1.14256  0.003329  0.002143  0.003216     1.553
   0.36654  0.63748  0.05324  1.15133  0.003211  0.002073  0.003315     1.549
   0.37675  0.62742  0.05498  1.15958  0.003105  0.002009  0.003404     1.546
   0.38695  0.61737  0.05672  1.16895  0.002988  0.001940  0.003517     1.541
   0.39714  0.60733  0.05844  1.17743  0.002887  0.001878  0.003612     1.538
   0.40730  0.59731  0.06015  1.18632  0.002784  0.001815  0.003717     1.534
   0.41745  0.58730  0.06185  1.19532  0.002685  0.001754  0.003825     1.531
   0.42760  0.57730  0.06354  1.20509  0.002580  0.001691  0.003952     1.526
   0.43772  0.56731  0.06521  1.21454  0.002483  0.001631  0.004072     1.522
   0.44784  0.55733  0.06686  1.22397  0.002390  0.001574  0.004194     1.519
   0.45793  0.54737  0.06849  1.23373  0.002297  0.001516  0.004325     1.515
   0.46801  0.53742  0.07010  1.24388  0.002205  0.001459  0.004467     1.511
   0.47808  0.52748  0.07168  1.25337  0.002121  0.001406  0.004595     1.508
