#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.91551  0.001968  0.001444  0.003214     1.363
   0.00377  0.99624 -0.00023  0.90546  0.002055  0.001491  0.003045     1.379
   0.01072  0.98929 -0.00051  0.89056  0.002197  0.001564  0.002794     1.404
   0.01845  0.98156 -0.00063  0.88270  0.002272  0.001599  0.002658     1.421
   0.02661  0.97340 -0.00056  0.88046  0.002284  0.001599  0.002613     1.429
   0.03500  0.96502 -0.00034  0.87983  0.002278  0.001589  0.002592     1.434
   0.04347  0.95655  0.00000  0.88183  0.002240  0.001562  0.002614     1.434
   0.05203  0.94800  0.00043  0.88314  0.002210  0.001540  0.002624     1.436
   0.06063  0.93942  0.00095  0.88575  0.002166  0.001510  0.002656     1.435
   0.06925  0.93082  0.00154  0.88771  0.002130  0.001484  0.002676     1.436
   0.07789  0.92221  0.00220  0.89010  0.002090  0.001456  0.002703     1.436
   0.08653  0.91359  0.00291  0.89268  0.002048  0.001427  0.002733     1.435
   0.09519  0.90497  0.00369  0.89618  0.001997  0.001393  0.002780     1.434
   0.10387  0.89633  0.00453  0.89916  0.001952  0.001362  0.002817     1.433
   0.11256  0.88769  0.00542  0.90292  0.001900  0.001328  0.002869     1.431
   0.12126  0.87904  0.00635  0.90621  0.001853  0.001296  0.002913     1.430
   0.12996  0.87039  0.00733  0.91023  0.001800  0.001261  0.002970     1.428
   0.13869  0.86172  0.00836  0.91476  0.001744  0.001224  0.003037     1.425
   0.14742  0.85306  0.00942  0.91893  0.001692  0.001189  0.003099     1.422
   0.15616  0.84438  0.01051  0.92258  0.001645  0.001157  0.003151     1.421
   0.16492  0.83570  0.01163  0.92730  0.001591  0.001121  0.003223     1.419
   0.17367  0.82702  0.01278  0.93078  0.001547  0.001091  0.003270     1.419
   0.18244  0.81833  0.01397  0.93629  0.001490  0.001052  0.003356     1.416
   0.19123  0.80963  0.01516  0.93984  0.001448  0.001022  0.003402     1.417
   0.20000  0.80094  0.01639  0.94489  0.001397  0.000987  0.003475     1.416
   0.20879  0.79224  0.01762  0.94864  0.001357  0.000956  0.003516     1.419
   0.21759  0.78353  0.01887  0.95275  0.001316  0.000925  0.003556     1.422
   0.22639  0.77482  0.02015  0.95736  0.001275  0.000893  0.003595     1.427
   0.23520  0.76611  0.02143  0.96133  0.001240  0.000863  0.003603     1.436
   0.24400  0.75740  0.02273  0.96566  0.001207  0.000833  0.003595     1.449
   0.25283  0.74867  0.02403  0.96922  0.001184  0.000806  0.003534     1.469
   0.26165  0.73995  0.02534  0.97344  0.001164  0.000778  0.003435     1.497
