#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.76728  0.23979  0.09500  1.18108  0.000496  0.000204  0.002551     2.433
   0.77645  0.23065  0.09435  1.17579  0.000486  0.000199  0.002579     2.438
   0.78562  0.22151  0.09359  1.17162  0.000467  0.000194  0.002739     2.413
   0.79478  0.21239  0.09270  1.16456  0.000460  0.000189  0.002734     2.425
   0.80393  0.20330  0.09170  1.15882  0.000444  0.000184  0.002859     2.411
   0.81303  0.19426  0.09058  1.15151  0.000432  0.000179  0.002926     2.409
   0.82212  0.18526  0.08934  1.14383  0.000418  0.000174  0.003021     2.401
   0.83116  0.17632  0.08798  1.13538  0.000404  0.000169  0.003134     2.392
   0.84018  0.16743  0.08649  1.12546  0.000393  0.000164  0.003198     2.391
   0.84913  0.15862  0.08488  1.11531  0.000379  0.000159  0.003330     2.379
   0.85804  0.14988  0.08314  1.10329  0.000367  0.000154  0.003403     2.377
   0.86691  0.14121  0.08127  1.09052  0.000354  0.000149  0.003505     2.371
   0.87572  0.13263  0.07927  1.07645  0.000341  0.000144  0.003609     2.366
   0.88446  0.12416  0.07714  1.06100  0.000328  0.000139  0.003742     2.355
   0.89313  0.11579  0.07487  1.04316  0.000319  0.000135  0.003742     2.367
   0.90170  0.10756  0.07248  1.02580  0.000301  0.000129  0.003997     2.339
   0.91017  0.09948  0.06995  1.00370  0.000293  0.000124  0.003964     2.355
   0.91851  0.09157  0.06730  0.98206  0.000278  0.000119  0.004153     2.339
   0.92668  0.08388  0.06453  0.95667  0.000264  0.000114  0.004299     2.327
   0.93469  0.07641  0.06164  0.92802  0.000254  0.000109  0.004292     2.337
   0.94247  0.06922  0.05866  0.89832  0.000239  0.000103  0.004534     2.313
   0.95001  0.06234  0.05559  0.86312  0.000228  0.000099  0.004520     2.319
   0.95725  0.05581  0.05246  0.82627  0.000215  0.000093  0.004647     2.307
   0.96416  0.04967  0.04930  0.78493  0.000204  0.000089  0.004693     2.300
   0.97069  0.04395  0.04614  0.74031  0.000193  0.000084  0.004678     2.299
   0.97681  0.03869  0.04301  0.69198  0.000180  0.000079  0.004780     2.275
   0.98248  0.03391  0.03996  0.63928  0.000173  0.000076  0.004545     2.288
   0.98770  0.02960  0.03702  0.58696  0.000163  0.000071  0.004471     2.281
   0.99248  0.02574  0.03420  0.53097  0.000153  0.000067  0.004353     2.271
   0.99682  0.02232  0.03152  0.47097  0.000144  0.000064  0.004148     2.255
   1.00077  0.01930  0.02898  0.40941  0.000138  0.000061  0.003724     2.266
   1.00435  0.01663  0.02659  0.34752  0.000130  0.000058  0.003415     2.251
   1.00761  0.01427  0.02434  0.28207  0.000124  0.000055  0.002923     2.243
   1.01059  0.01219  0.02221  0.21689  0.000117  0.000052  0.002331     2.264
   1.01331  0.01036  0.02020  0.14673  0.000108  0.000049  0.001781     2.221
   1.01579  0.00875  0.01831  0.07448  0.000110  0.000049  0.000876     2.232
   1.01809  0.00732  0.01651  0.00274  0.000095  0.000043  0.000038     2.230
   1.02022  0.00606  0.01480 -0.07794  0.000095  0.000043  0.001067     2.230
   1.02219  0.00495  0.01317 -0.15654  0.000092  0.000041  0.002230     2.222
   1.02401  0.00398  0.01163 -0.24232  0.000084  0.000038  0.003837     2.204
   1.02571  0.00314  0.01015 -0.33140  0.000081  0.000037  0.005320     2.224
   1.02731  0.00241  0.00873 -0.42733  0.000075  0.000034  0.007589     2.195
   1.02880  0.00180  0.00737 -0.52228  0.000074  0.000033  0.009130     2.227
   1.03022  0.00127  0.00605 -0.62537  0.000069  0.000032  0.012157     2.188
   1.03155  0.00084  0.00479 -0.74478  0.000064  0.000029  0.015891     2.177
   1.03282  0.00050  0.00357 -0.86660  0.000062  0.000028  0.018653     2.205
