#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.93308  0.008150  0.004924  0.001892     1.655
   0.00377  0.99624 -0.00023  0.93239  0.008203  0.004933  0.001864     1.663
   0.01072  0.98929 -0.00051  0.92743  0.008504  0.005024  0.001745     1.693
   0.01845  0.98156 -0.00063  0.92526  0.008674  0.005060  0.001672     1.714
   0.02661  0.97340 -0.00056  0.92499  0.008746  0.005057  0.001629     1.729
   0.03500  0.96502 -0.00034  0.92604  0.008744  0.005028  0.001608     1.739
   0.04347  0.95655  0.00000  0.92797  0.008692  0.004981  0.001602     1.745
   0.05203  0.94800  0.00043  0.93039  0.008614  0.004925  0.001603     1.749
   0.06063  0.93942  0.00095  0.93309  0.008521  0.004864  0.001609     1.752
   0.06925  0.93082  0.00154  0.93626  0.008403  0.004794  0.001623     1.753
   0.07789  0.92221  0.00220  0.93962  0.008278  0.004722  0.001640     1.753
   0.08653  0.91359  0.00291  0.94311  0.008149  0.004649  0.001658     1.753
   0.09519  0.90497  0.00369  0.94721  0.007990  0.004566  0.001688     1.750
   0.10387  0.89633  0.00453  0.95127  0.007838  0.004486  0.001717     1.747
   0.11256  0.88769  0.00542  0.95583  0.007664  0.004398  0.001755     1.743
   0.12126  0.87904  0.00635  0.96047  0.007492  0.004311  0.001794     1.738
   0.12996  0.87039  0.00733  0.96511  0.007326  0.004225  0.001833     1.734
   0.13869  0.86172  0.00836  0.97046  0.007133  0.004131  0.001886     1.727
   0.14742  0.85306  0.00942  0.97557  0.006956  0.004042  0.001934     1.721
   0.15616  0.84438  0.01051  0.98085  0.006780  0.003953  0.001985     1.715
   0.16492  0.83570  0.01163  0.98667  0.006586  0.003858  0.002047     1.707
   0.17367  0.82702  0.01278  0.99190  0.006424  0.003774  0.002098     1.702
   0.18244  0.81833  0.01397  0.99809  0.006230  0.003679  0.002168     1.693
   0.19123  0.80963  0.01516  1.00372  0.006065  0.003594  0.002227     1.687
   0.20000  0.80094  0.01639  1.00992  0.005885  0.003504  0.002298     1.680
   0.20879  0.79224  0.01762  1.01583  0.005722  0.003420  0.002364     1.673
   0.21759  0.78353  0.01887  1.02191  0.005559  0.003336  0.002433     1.667
   0.22639  0.77482  0.02015  1.02859  0.005383  0.003247  0.002516     1.658
   0.23520  0.76611  0.02143  1.03498  0.005224  0.003164  0.002594     1.651
   0.24400  0.75740  0.02273  1.04135  0.005070  0.003083  0.002672     1.644
   0.25283  0.74867  0.02403  1.04795  0.004916  0.003002  0.002755     1.637
   0.26165  0.73995  0.02534  1.05499  0.004756  0.002919  0.002850     1.629
   0.27047  0.73122  0.02666  1.06142  0.004617  0.002844  0.002932     1.623
   0.27931  0.72248  0.02798  1.06847  0.004468  0.002765  0.003029     1.616
   0.28815  0.71374  0.02930  1.07561  0.004323  0.002688  0.003130     1.608
   0.29698  0.70501  0.03063  1.08281  0.004182  0.002612  0.003234     1.601
   0.30581  0.69628  0.03194  1.08993  0.004047  0.002539  0.003338     1.594
   0.31463  0.68756  0.03324  1.09679  0.003923  0.002471  0.003437     1.588
   0.32344  0.67884  0.03455  1.10449  0.003787  0.002397  0.003559     1.580
   0.33224  0.67014  0.03583  1.11143  0.003669  0.002331  0.003665     1.574
   0.34104  0.66143  0.03710  1.11895  0.003545  0.002263  0.003787     1.567
   0.34982  0.65274  0.03836  1.12594  0.003433  0.002200  0.003899     1.561
   0.35861  0.64404  0.03959  1.13291  0.003326  0.002139  0.004013     1.555
   0.36739  0.63534  0.04081  1.13993  0.003220  0.002079  0.004131     1.549
   0.37617  0.62665  0.04200  1.14671  0.003122  0.002021  0.004246     1.544
   0.38493  0.61796  0.04318  1.15361  0.003024  0.001965  0.004366     1.539
   0.39370  0.60927  0.04433  1.16008  0.002934  0.001912  0.004478     1.535
   0.40246  0.60058  0.04545  1.16705  0.002841  0.001858  0.004606     1.529
   0.41122  0.59189  0.04655  1.17303  0.002762  0.001810  0.004711     1.526
   0.41999  0.58319  0.04763  1.18020  0.002670  0.001756  0.004851     1.520
   0.42874  0.57450  0.04867  1.18563  0.002600  0.001713  0.004946     1.518
   0.43749  0.56581  0.04969  1.19217  0.002520  0.001665  0.005076     1.514
   0.44625  0.55711  0.05068  1.19827  0.002446  0.001620  0.005196     1.510
   0.45500  0.54841  0.05164  1.20420  0.002375  0.001576  0.005315     1.507
   0.46375  0.53971  0.05257  1.21010  0.002305  0.001533  0.005436     1.503
   0.47249  0.53101  0.05347  1.21621  0.002235  0.001490  0.005568     1.500
   0.48124  0.52231  0.05433  1.22119  0.002176  0.001453  0.005668     1.498
   0.48998  0.51361  0.05517  1.22764  0.002106  0.001410  0.005817     1.494
   0.49872  0.50491  0.05598  1.23316  0.002044  0.001371  0.005942     1.491
   0.50746  0.49620  0.05674  1.23747  0.001993  0.001337  0.006031     1.490
   0.51620  0.48749  0.05749  1.24393  0.001926  0.001296  0.006192     1.486
   0.52494  0.47878  0.05819  1.24913  0.001870  0.001260  0.006317     1.484
   0.53367  0.47007  0.05886  1.25314  0.001822  0.001228  0.006405     1.484
   0.54241  0.46136  0.05951  1.25986  0.001757  0.001188  0.006585     1.479
   0.55115  0.45264  0.06010  1.26397  0.001710  0.001156  0.006682     1.479
   0.55988  0.44393  0.06067  1.26861  0.001661  0.001124  0.006797     1.478
   0.56861  0.43521  0.06121  1.27439  0.001605  0.001088  0.006951     1.476
   0.57735  0.42649  0.06171  1.27921  0.001556  0.001055  0.007074     1.475
   0.58607  0.41778  0.06217  1.28372  0.001510  0.001023  0.007183     1.476
   0.59480  0.40906  0.06260  1.28939  0.001458  0.000989  0.007330     1.475
   0.60353  0.40034  0.06298  1.29283  0.001420  0.000960  0.007388     1.479
   0.61226  0.39162  0.06334  1.29774  0.001376  0.000928  0.007484     1.482
   0.62098  0.38290  0.06365  1.30236  0.001335  0.000898  0.007549     1.487
   0.62971  0.37418  0.06393  1.30619  0.001301  0.000869  0.007554     1.497
   0.63842  0.36547  0.06417  1.31218  0.001260  0.000836  0.007598     1.506
   0.64714  0.35675  0.06437  1.31575  0.001234  0.000809  0.007487     1.525
   0.65585  0.34804  0.06452  1.31990  0.001212  0.000782  0.007305     1.550
   0.66457  0.33932  0.06464  1.32473  0.001196  0.000754  0.007019     1.586
   0.67328  0.33061  0.06471  1.32836  0.001199  0.000730  0.006503     1.643
   0.68199  0.32190  0.06474  1.33305  0.001218  0.000706  0.005784     1.726
   0.69069  0.31320  0.06473  1.33967  0.001255  0.000680  0.004846     1.847
