#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.91630  0.002188  0.001615  0.003483     1.355
   0.00377  0.99624 -0.00023  0.90672  0.002278  0.001665  0.003313     1.369
   0.01072  0.98929 -0.00051  0.89205  0.002430  0.001745  0.003051     1.393
   0.01845  0.98156 -0.00063  0.88416  0.002512  0.001784  0.002908     1.408
   0.02661  0.97340 -0.00056  0.88175  0.002526  0.001785  0.002860     1.415
   0.03500  0.96502 -0.00034  0.88095  0.002520  0.001775  0.002839     1.420
   0.04347  0.95655  0.00000  0.88272  0.002481  0.001748  0.002862     1.420
   0.05203  0.94800  0.00043  0.88392  0.002450  0.001724  0.002874     1.421
   0.06063  0.93942  0.00095  0.88636  0.002403  0.001692  0.002908     1.420
   0.06925  0.93082  0.00154  0.88822  0.002364  0.001664  0.002930     1.421
   0.07789  0.92221  0.00220  0.89050  0.002320  0.001633  0.002960     1.421
   0.08653  0.91359  0.00291  0.89298  0.002275  0.001602  0.002993     1.420
   0.09519  0.90497  0.00369  0.89634  0.002221  0.001565  0.003041     1.419
   0.10387  0.89633  0.00453  0.89923  0.002172  0.001532  0.003081     1.418
   0.11256  0.88769  0.00542  0.90286  0.002117  0.001494  0.003134     1.416
   0.12126  0.87904  0.00635  0.90606  0.002067  0.001460  0.003178     1.416
   0.12996  0.87039  0.00733  0.90994  0.002011  0.001422  0.003235     1.415
   0.13869  0.86172  0.00836  0.91430  0.001952  0.001382  0.003301     1.413
   0.14742  0.85306  0.00942  0.91832  0.001898  0.001344  0.003358     1.412
   0.15616  0.84438  0.01051  0.92184  0.001849  0.001309  0.003403     1.413
   0.16492  0.83570  0.01163  0.92635  0.001794  0.001270  0.003465     1.412
   0.17367  0.82702  0.01278  0.92967  0.001751  0.001237  0.003498     1.415
   0.18244  0.81833  0.01397  0.93488  0.001694  0.001196  0.003565     1.416
   0.19123  0.80963  0.01516  0.93822  0.001654  0.001164  0.003584     1.421
   0.20000  0.80094  0.01639  0.94290  0.001607  0.001127  0.003620     1.427
   0.20879  0.79224  0.01762  0.94632  0.001573  0.001095  0.003611     1.437
   0.21759  0.78353  0.01887  0.95001  0.001542  0.001063  0.003586     1.451
   0.22639  0.77482  0.02015  0.95405  0.001514  0.001030  0.003536     1.469
   0.23520  0.76611  0.02143  0.95741  0.001499  0.001001  0.003427     1.497
   0.24400  0.75740  0.02273  0.96095  0.001494  0.000972  0.003260     1.537
   0.25283  0.74867  0.02403  0.96380  0.001513  0.000947  0.002988     1.597
   0.26165  0.73995  0.02534  0.96731  0.001554  0.000922  0.002614     1.686
   0.27047  0.73122  0.02666  0.97117  0.001643  0.000897  0.002085     1.831
   0.27931  0.72248  0.02798  0.97766  0.001796  0.000866  0.001421     2.074
   0.28815  0.71374  0.02930  0.99081  0.002026  0.000813  0.000728     2.491
